Date,ha_open,ha_high,ha_low,ha_close,volume
2008-10-07 09:15:00,48.9243025,48.9243025,46.4,47.685,827920.0
2008-10-08 09:15:00,48.30465125,48.30465125,42.6,45.435,1761975.0
2008-10-10 09:15:00,46.86982562,46.86982562,38.8399992,40.9599998,1848490.0
2008-10-13 09:15:00,43.91491271,44.2,41.26,42.525,475412.5
2008-10-14 09:15:00,43.21995636,46.84,43.21995636,45.685,1189445.0
2008-10-15 09:15:00,44.45247818,47.4,43.88,45.46,1672002.5
2008-10-16 09:15:00,44.95623909,44.95623909,40.02,42.485,2724292.5
2008-10-17 09:15:00,43.72061954,44.18,42.58,43.24,2389990.0
2008-10-20 09:15:00,43.48030977,44.76,42.8,43.795,508910.0
2008-10-21 09:15:00,43.63765488,46.36,43.22,44.7,802167.5
2008-10-22 09:15:00,44.16882744,46.76,43.0,45.085,1262495.0
2008-10-23 09:15:00,44.62691372,44.62691372,42.4,43.07,1004630.0
2008-10-24 09:15:00,43.84845686,43.84845686,38.8,41.225,1029345.0
2008-10-27 09:15:00,42.53672843,42.53672843,34.1600008,36.8950005,611007.5
2008-10-28 09:15:00,39.71586446,39.71586446,37.2,38.7650009,115242.5
2008-10-29 09:15:00,39.24043268,41.92,36.2,39.0150006,1740145.0
2008-10-31 09:15:00,39.12771664,42.4,38.2,40.435,1838330.0
2008-11-03 09:15:00,39.78135832,46.0,39.78135832,42.865,1926775.0
2008-11-04 09:15:00,41.32317916,46.12,41.32317916,45.225,732665.0
2008-11-05 09:15:00,43.27408958,47.56,43.27408958,45.965,1505535.0
2008-11-06 09:15:00,44.61954479,44.66,42.44,43.725,513377.5
2008-11-07 09:15:00,44.1722724,45.6,41.0,43.8,1437135.0
2008-11-10 09:15:00,43.9861362,47.2,43.9861362,45.89,1377520.0
2008-11-11 09:15:00,44.9380681,47.2,44.82,45.605,730687.5
2008-11-12 09:15:00,45.27153405,45.64,41.68,43.955,1288292.5
2008-11-14 09:15:00,44.61326702,46.0,41.28,43.87,2213772.5
2008-11-17 09:15:00,44.24163351,44.24163351,38.9,40.89,1247307.5
2008-11-18 09:15:00,42.56581676,42.56581676,39.8399992,40.5899998,781645.0
2008-11-19 09:15:00,41.57790828,42.24,40.32,41.22,2315247.5
2008-11-20 09:15:00,41.39895414,41.39895414,38.8,40.1,2089642.5
2008-11-21 09:15:00,40.74947707,41.56,40.0,40.7,578202.5
2008-11-24 09:15:00,40.72473854,42.72,40.4,41.66,1125022.5
2008-11-25 09:15:00,41.19236927,43.2,41.19236927,42.595,2374985.0
2008-11-26 09:15:00,41.89368464,44.0,41.89368464,42.795,950012.5
2008-11-28 09:15:00,42.34434232,44.8,42.34434232,43.63,958062.5
2008-12-01 09:15:00,42.98717116,46.04,42.98717116,44.495,1124515.0
2008-12-02 09:15:00,43.74108558,43.74108558,41.42,42.22,312315.0
2008-12-03 09:15:00,42.98054279,44.6,42.56,43.59,308640.0
2008-12-04 09:15:00,43.2852714,44.9,42.84,44.01,852785.0
2008-12-05 09:15:00,43.6476357,45.34,43.6476357,44.38,384677.5
2008-12-08 09:15:00,44.01381785,46.24,44.01381785,45.75,715140.0
2008-12-10 09:15:00,44.88190892,50.24,44.88190892,48.17,3362135.0
2008-12-11 09:15:00,46.52595446,51.92,46.52595446,50.29,3529772.5
2008-12-12 09:15:00,48.40797723,51.959996,46.36,49.514999,2194392.5
2008-12-15 09:15:00,48.96148812,52.7,48.62,50.39,1243090.0
2008-12-16 09:15:00,49.67574406,51.6,48.08,49.73,2171627.5
2008-12-17 09:15:00,49.70287203,51.559996,49.0,50.359999,1157707.5
2008-12-18 09:15:00,50.0314355,50.7,48.82,49.675,1114245.0
2008-12-19 09:15:00,49.85321775,50.38,48.8,49.49,845820.0
2008-12-22 09:15:00,49.67160888,53.2,49.67160888,51.530001,4872272.5
2008-12-23 09:15:00,50.60080495,54.0,49.66,51.420001,3349672.5
2008-12-24 09:15:00,51.010403,53.159996,48.88,50.744998,2050685.0
2008-12-26 09:15:00,50.8777005,52.8,48.62,50.725,908115.0
2008-12-29 09:15:00,50.80135025,52.1,48.9,50.45,766822.5
2008-12-30 09:15:00,50.6256751,53.52,50.6256751,52.335001,1153435.0
2008-12-31 09:15:00,51.48033805,54.6,51.48033805,53.410001,1404397.5
2009-01-01 09:15:00,52.4451695,54.4,52.4451695,53.78,318250.0
2009-01-02 09:15:00,53.11258475,55.2,53.0,54.25,1484247.5
2009-01-05 09:15:00,53.6812924,57.6,53.6812924,56.314999,1766640.0
2009-01-06 09:15:00,54.9981457,57.4,54.9981457,56.585001,2128900.0
2009-01-07 09:15:00,55.79157335,56.78,52.040004,54.840002,1092150.0
2009-01-09 09:15:00,55.3157877,55.559996,52.440004,54.285001,782272.5
2009-01-12 09:15:00,54.80039435,55.159996,52.1,53.484999,967280.0
2009-01-13 09:15:00,54.1426967,54.1426967,51.2,52.245,399195.0
2009-01-14 09:15:00,53.19384835,53.7,52.0,52.769999,394667.5
2009-01-15 09:15:00,52.9819237,53.359996,50.6,52.009999,738172.5
2009-01-16 09:15:00,52.49596135,53.92,51.28,52.67,2902462.5
2009-01-19 09:15:00,52.5829807,52.8,51.640004,52.345002,453975.0
2009-01-20 09:15:00,52.46399135,55.2,51.62,53.32,1480730.0
2009-01-21 09:15:00,52.8919957,54.159996,51.22,52.43,1265475.0
2009-01-22 09:15:00,52.66099785,54.72,49.66,52.500001,1812522.5
2009-01-23 09:15:00,52.5804994,53.2,50.9,51.964999,879350.0
2009-01-27 09:15:00,52.2727492,53.159996,51.48,52.139999,262770.0
2009-01-28 09:15:00,52.2063741,53.740004,52.2,53.040002,318595.0
2009-01-29 09:15:00,52.62318805,55.759996,52.62318805,54.009999,1495245.0
2009-01-30 09:15:00,53.3165935,56.8,53.2,54.985001,1123752.5
2009-02-02 09:15:00,54.15079725,56.6,53.240004,54.975,673612.5
2009-02-03 09:15:00,54.5628986,55.6,53.02,54.074999,2943200.0
2009-02-04 09:15:00,54.3189488,55.4,53.62,54.294999,748165.0
2009-02-05 09:15:00,54.3069739,55.240004,53.440004,54.115002,582080.0
2009-02-06 09:15:00,54.21098795,54.78,53.2,53.715,520242.5
2009-02-09 09:15:00,53.962994,55.159996,53.4,54.045,480012.5
2009-02-10 09:15:00,54.003997,55.440004,53.840004,54.610001,474192.5
2009-02-11 09:15:00,54.306999,55.8,54.02,54.855,585582.5
2009-02-12 09:15:00,54.5809995,55.6,54.2,54.915001,353060.0
2009-02-13 09:15:00,54.74800025,56.7,54.74800025,55.700001,911885.0
2009-02-16 09:15:00,55.2240006,56.48,54.440004,55.555001,1254815.0
2009-02-17 09:15:00,55.3895008,56.159996,53.640004,54.695,1107107.5
2009-02-18 09:15:00,55.0422504,55.640004,53.240004,54.355003,802765.0
2009-02-19 09:15:00,54.6986267,57.359996,54.459996,56.094997,1035825.0
2009-02-20 09:15:00,55.39681185,56.38,54.740004,55.5,0.0
2009-02-24 09:15:00,55.4484059,55.4484059,53.0,53.545,783945.0
2009-02-25 09:15:00,54.49670295,56.08,54.0,55.009999,1131432.5
2009-02-26 09:15:00,54.753351,56.5,54.753351,55.664999,1086675.0
2009-02-27 09:15:00,55.209175,58.740004,55.209175,56.985001,779717.5
2009-03-02 09:15:00,56.097088,58.72,55.62,57.18,1035587.5
2009-03-03 09:15:00,56.638544,56.638544,54.4,55.155,567357.5
2009-03-04 09:15:00,55.896772,55.896772,53.08,54.57,1461987.5
2009-03-05 09:15:00,55.233386,55.233386,52.62,53.684998,578850.0
2009-03-06 09:15:00,54.459192,54.459192,50.92,52.12,1101695.0
2009-03-09 09:15:00,53.289596,53.289596,51.3,51.725,209415.0
2009-03-12 09:15:00,52.507298,53.640004,51.6,52.765002,857517.5
2009-03-13 09:15:00,52.63615,55.8,52.63615,54.464999,2415987.5
2009-03-16 09:15:00,53.5505745,57.98,53.5505745,56.62,1684595.0
2009-03-17 09:15:00,55.08528725,57.92,55.08528725,56.23,865317.5
2009-03-18 09:15:00,55.6576436,56.240004,54.4,55.405001,1654167.5
2009-03-19 09:15:00,55.5313223,55.8,52.240004,54.03,1435302.5
2009-03-20 09:15:00,54.78066115,54.78066115,49.86,51.71,2193975.0
2009-03-23 09:15:00,53.2453306,53.6,51.82,52.605,1314767.5
2009-03-24 09:15:00,52.9251653,55.559996,51.959996,53.409998,1301365.0
2009-03-25 09:15:00,53.16758165,53.2,51.340004,52.6,877622.5
2009-03-26 09:15:00,52.8837908,53.959996,52.6,53.205,561065.0
2009-03-27 09:15:00,53.0443954,55.759996,52.859996,54.194997,3239440.0
2009-03-30 09:15:00,53.6196962,57.659996,53.240004,55.27,1952607.5
2009-03-31 09:15:00,54.4448481,58.48,54.4448481,56.790001,1753107.5
2009-04-01 09:15:00,55.61742455,58.340004,55.61742455,57.520002,868350.0
2009-04-02 09:15:00,56.5687133,58.98,56.5687133,57.92,729630.0
2009-04-06 09:15:00,57.24435665,59.48,55.28,57.295,980532.5
2009-04-08 09:15:00,57.2696783,57.2696783,53.840004,55.485001,2872367.5
2009-04-09 09:15:00,56.37733965,57.92,54.940004,56.245001,1693805.0
2009-04-13 09:15:00,56.3111703,56.3111703,53.42,54.825002,2967792.5
2009-04-15 09:15:00,55.56808615,56.18,53.0,54.65,5555860.0
2009-04-16 09:15:00,55.1090431,63.6,55.1090431,58.355,19099752.5
2009-04-17 09:15:00,56.73202155,64.8,56.73202155,61.234999,20268457.5
2009-04-20 09:15:00,58.9835103,66.0,58.9835103,64.35,9425290.0
2009-04-21 09:15:00,61.66675515,63.959996,60.240004,62.495,5143672.5
2009-04-22 09:15:00,62.0808776,64.840004,56.5,61.389999,3155000.0
2009-04-23 09:15:00,61.7354383,63.359996,58.2,61.474998,3721900.0
2009-04-24 09:15:00,61.60521815,64.340004,61.60521815,63.2,1918190.0
2009-04-27 09:15:00,62.4026091,63.2,60.22,61.355,1277135.0
2009-04-28 09:15:00,61.87880455,62.5,59.6,60.73,4252825.0
2009-04-29 09:15:00,61.3044023,62.6,58.52,60.865001,4808597.5
2009-05-04 09:15:00,61.08470165,67.9,61.08470165,65.135,3343205.0
2009-05-05 09:15:00,63.1098508,68.959996,63.1098508,67.579998,2043417.5
2009-05-06 09:15:00,65.3449244,68.8,64.6,66.680001,1595887.5
2009-05-07 09:15:00,66.0124627,67.2,64.240004,65.425002,547500.0
2009-05-08 09:15:00,65.71873235,68.0,64.0,65.535001,639412.5
2009-05-11 09:15:00,65.6268667,66.8,62.0,64.219999,1218792.5
2009-05-12 09:15:00,64.92343285,65.559996,60.759996,63.189999,2481492.5
2009-05-13 09:15:00,64.0567159,67.440004,63.32,65.235001,1763975.0
2009-05-14 09:15:00,64.64585845,70.0,63.440004,66.930001,3404450.0
2009-05-15 09:15:00,65.7879297,71.62,65.7879297,70.040001,2924987.5
2009-05-18 09:15:00,67.91396535,79.98,67.91396535,77.505001,7762.5
2009-05-19 09:15:00,72.7094832,90.759996,72.7094832,81.364999,10141227.5
2009-05-20 09:15:00,77.0372411,86.92,77.0372411,82.574999,6584772.5
2009-05-21 09:15:00,79.80612005,86.959996,79.80612005,83.75,4376782.5
2009-05-22 09:15:00,81.77806,83.159996,77.6,80.509999,1386027.5
2009-05-25 09:15:00,81.1440295,82.8,79.6,81.334999,1276530.0
2009-05-26 09:15:00,81.23951425,83.159996,73.440004,78.45,2776022.5
2009-05-27 09:15:00,79.8447571,80.3,76.040004,78.245002,2036240.0
2009-05-28 09:15:00,79.04487955,80.4,76.0,78.225,2541402.5
2009-05-29 09:15:00,78.6349398,80.2,76.42,78.469999,2788130.0
2009-06-01 09:15:00,78.5524694,82.359996,78.2,80.294999,5373630.0
2009-06-02 09:15:00,79.4237342,83.159996,77.740004,80.569999,3434985.0
2009-06-03 09:15:00,79.9968666,82.040004,78.040004,80.390002,5367380.0
2009-06-04 09:15:00,80.1934343,84.2,79.92,81.910001,6184830.0
2009-06-05 09:15:00,81.05171765,85.6,81.05171765,83.475,6363975.0
2009-06-08 09:15:00,82.2633588,82.959996,74.52,78.794999,2126775.0
2009-06-09 09:15:00,80.5291789,80.5291789,72.82,76.5,2109695.0
2009-06-10 09:15:00,78.51458945,81.6,78.040004,79.52,2156815.0
2009-06-11 09:15:00,79.0172947,81.559996,78.4,80.014999,2028110.0
2009-06-12 09:15:00,79.51614685,82.1,78.7,80.225,1386655.0
2009-06-15 09:15:00,79.8705734,79.8705734,75.4,77.915,2306707.5
2009-06-16 09:15:00,78.8927867,83.08,75.659996,79.365,4433432.5
2009-06-17 09:15:00,79.12889335,84.4,77.240004,81.0,3449462.5
2009-06-18 09:15:00,80.0644467,80.759996,75.0,77.695,2009530.0
2009-06-19 09:15:00,78.87972335,78.87972335,72.02,75.405,2842737.5
2009-06-22 09:15:00,77.1423617,77.98,73.2,75.39,904535.0
2009-06-23 09:15:00,76.26618085,76.4,71.7,74.145,2612240.0
2009-06-24 09:15:00,75.2055904,77.559996,74.859996,76.249998,2109462.5
2009-06-25 09:15:00,75.7277942,80.359996,75.7277942,77.939999,5376635.0
2009-06-26 09:15:00,76.8338966,81.52,76.8338966,79.749999,3588822.5
2009-06-29 09:15:00,78.2919478,82.68,78.2919478,81.290002,2013620.0
2009-06-30 09:15:00,79.7909749,82.78,77.2,79.95,3416542.5
